Step    103 | lr=9.766e-05 | loss=24048.5 | e_loss=237549 | f_loss=0.734919 | f_rmse=0.8573 | pref_e=0.1009 pref_f=99.92 | diff=0.000e+00
Step    104 | lr=9.763e-05 | loss=21891.2 | e_loss=212463 | f_loss=4.46337 | f_rmse=2.1127 | pref_e=0.1009 pref_f=99.92 | diff=0.000e+00
Step    105 | lr=9.761e-05 | loss=19086.7 | e_loss=185408 | f_loss=3.70989 | f_rmse=1.9261 | pref_e=0.1009 pref_f=99.92 | diff=0.000e+00
Step    106 | lr=9.759e-05 | loss=17660.7 | e_loss=173166 | f_loss=1.79029 | f_rmse=1.3380 | pref_e=0.101 pref_f=99.92 | diff=0.000e+00
Step    107 | lr=9.757e-05 | loss=20430.4 | e_loss=201414 | f_loss=0.951956 | f_rmse=0.9757 | pref_e=0.101 pref_f=99.91 | diff=0.000e+00
Step    108 | lr=9.754e-05 | loss=18693.9 | e_loss=183505 | f_loss=1.65145 | f_rmse=1.2851 | pref_e=0.101 pref_f=99.91 | diff=0.000e+00
Step    109 | lr=9.752e-05 | loss=14420.4 | e_loss=141018 | f_loss=1.80481 | f_rmse=1.3434 | pref_e=0.101 pref_f=99.91 | diff=0.000e+00
Step    110 | lr=9.750e-05 | loss=15125.5 | e_loss=148877 | f_loss=0.904719 | f_rmse=0.9512 | pref_e=0.101 pref_f=99.91 | diff=0.000e+00
Step    111 | lr=9.748e-05 | loss=14251.5 | e_loss=140189 | f_loss=0.926474 | f_rmse=0.9625 | pref_e=0.101 pref_f=99.91 | diff=0.000e+00
Step    112 | lr=9.745e-05 | loss=13444.7 | e_loss=128640 | f_loss=4.51471 | f_rmse=2.1248 | pref_e=0.101 pref_f=99.91 | diff=0.000e+00
Step    113 | lr=9.743e-05 | loss=9426.88 | e_loss=91447.7 | f_loss=1.8928 | f_rmse=1.3758 | pref_e=0.101 pref_f=99.91 | diff=0.000e+00
Step    114 | lr=9.741e-05 | loss=9159.24 | e_loss=89529.8 | f_loss=1.14508 | f_rmse=1.0701 | pref_e=0.101 pref_f=99.91 | diff=0.000e+00
Step    115 | lr=9.739e-05 | loss=9654.58 | e_loss=94121.6 | f_loss=1.45143 | f_rmse=1.2048 | pref_e=0.101 pref_f=99.91 | diff=0.000e+00
Step    116 | lr=9.736e-05 | loss=10280 | e_loss=100890 | f_loss=0.857534 | f_rmse=0.9260 | pref_e=0.101 pref_f=99.91 | diff=0.000e+00
Step    117 | lr=9.734e-05 | loss=5267.57 | e_loss=48495 | f_loss=3.67342 | f_rmse=1.9166 | pref_e=0.1011 pref_f=99.91 | diff=0.000e+00
Step    118 | lr=9.732e-05 | loss=5562.6 | e_loss=53337.1 | f_loss=1.72401 | f_rmse=1.3130 | pref_e=0.1011 pref_f=99.91 | diff=0.000e+00
Step    119 | lr=9.730e-05 | loss=4737.58 | e_loss=45653.1 | f_loss=1.23492 | f_rmse=1.1113 | pref_e=0.1011 pref_f=99.9 | diff=0.000e+00
Step    120 | lr=9.727e-05 | loss=4162.62 | e_loss=40009.4 | f_loss=1.1859 | f_rmse=1.0890 | pref_e=0.1011 pref_f=99.9 | diff=0.000e+00
Step    121 | lr=9.725e-05 | loss=2914.2 | e_loss=26230.6 | f_loss=2.62837 | f_rmse=1.6212 | pref_e=0.1011 pref_f=99.9 | diff=0.000e+00
Step    122 | lr=9.723e-05 | loss=2094.92 | e_loss=14370 | f_loss=6.42775 | f_rmse=2.5353 | pref_e=0.1011 pref_f=99.9 | diff=0.000e+00
Step    123 | lr=9.721e-05 | loss=4343.79 | e_loss=41934.3 | f_loss=1.04035 | f_rmse=1.0200 | pref_e=0.1011 pref_f=99.9 | diff=0.000e+00
